,Province_State,Date,value
618,North Carolina,2/17/20,
619,North Dakota,2/17/20,
620,Ohio,2/17/20,
621,Oklahoma,2/17/20,
622,Oregon,2/17/20,
623,Pennsylvania,2/17/20,
624,Rhode Island,2/17/20,
625,South Carolina,2/17/20,
626,South Dakota,2/17/20,
627,Tennessee,2/17/20,
628,Texas,2/17/20,
629,Utah,2/17/20,
630,Vermont,2/17/20,
631,Virginia,2/17/20,
632,Washington,2/17/20,
633,West Virginia,2/17/20,
634,Wisconsin,2/17/20,
635,Wyoming,2/17/20,
636,Alabama,2/18/20,
637,Alaska,2/18/20,
638,Arizona,2/18/20,
639,Arkansas,2/18/20,
640,California,2/18/20,-50.0
641,Colorado,2/18/20,
642,Connecticut,2/18/20,
643,Delaware,2/18/20,
644,Diamond Princess,2/18/20,
645,District of Columbia,2/18/20,
646,Florida,2/18/20,
647,Georgia,2/18/20,
648,Grand Princess,2/18/20,
649,Hawaii,2/18/20,
650,Idaho,2/18/20,
651,Illinois,2/18/20,
652,Indiana,2/18/20,
653,Iowa,2/18/20,
654,Kansas,2/18/20,
655,Kentucky,2/18/20,
656,Louisiana,2/18/20,
657,Maine,2/18/20,
658,Maryland,2/18/20,
659,Massachusetts,2/18/20,
660,Michigan,2/18/20,
661,Minnesota,2/18/20,
662,Mississippi,2/18/20,
663,Missouri,2/18/20,
664,Montana,2/18/20,
665,Nebraska,2/18/20,
666,Nevada,2/18/20,
667,New Hampshire,2/18/20,
668,New Jersey,2/18/20,
669,New Mexico,2/18/20,
670,New York,2/18/20,
671,North Carolina,2/18/20,
672,North Dakota,2/18/20,
673,Ohio,2/18/20,
674,Oklahoma,2/18/20,
675,Oregon,2/18/20,
676,Pennsylvania,2/18/20,
677,Rhode Island,2/18/20,
678,South Carolina,2/18/20,
679,South Dakota,2/18/20,
680,Tennessee,2/18/20,
681,Texas,2/18/20,
682,Utah,2/18/20,
683,Vermont,2/18/20,
684,Virginia,2/18/20,
685,Washington,2/18/20,
686,West Virginia,2/18/20,
687,Wisconsin,2/18/20,
688,Wyoming,2/18/20,
689,Alabama,2/19/20,
690,Alaska,2/19/20,
691,Arizona,2/19/20,
692,Arkansas,2/19/20,
693,California,2/19/20,-75.0
694,Colorado,2/19/20,
695,Connecticut,2/19/20,
696,Delaware,2/19/20,
697,Diamond Princess,2/19/20,
698,District of Columbia,2/19/20,
699,Florida,2/19/20,
700,Georgia,2/19/20,
701,Grand Princess,2/19/20,
702,Hawaii,2/19/20,
703,Idaho,2/19/20,
704,Illinois,2/19/20,
705,Indiana,2/19/20,
706,Iowa,2/19/20,
707,Kansas,2/19/20,
708,Kentucky,2/19/20,
709,Louisiana,2/19/20,
710,Maine,2/19/20,
711,Maryland,2/19/20,
712,Massachusetts,2/19/20,
713,Michigan,2/19/20,
714,Minnesota,2/19/20,
715,Mississippi,2/19/20,
716,Missouri,2/19/20,
717,Montana,2/19/20,
718,Nebraska,2/19/20,
719,Nevada,2/19/20,
720,New Hampshire,2/19/20,
721,New Jersey,2/19/20,
722,New Mexico,2/19/20,
723,New York,2/19/20,
724,North Carolina,2/19/20,
725,North Dakota,2/19/20,
726,Ohio,2/19/20,
727,Oklahoma,2/19/20,
728,Oregon,2/19/20,
729,Pennsylvania,2/19/20,
730,Rhode Island,2/19/20,
731,South Carolina,2/19/20,
732,South Dakota,2/19/20,
733,Tennessee,2/19/20,
734,Texas,2/19/20,
735,Utah,2/19/20,
736,Vermont,2/19/20,
737,Virginia,2/19/20,
738,Washington,2/19/20,
739,West Virginia,2/19/20,
740,Wisconsin,2/19/20,
741,Wyoming,2/19/20,
742,Alabama,2/20/20,
743,Alaska,2/20/20,
744,Arizona,2/20/20,
745,Arkansas,2/20/20,
746,California,2/20/20,
747,Colorado,2/20/20,
748,Connecticut,2/20/20,
749,Delaware,2/20/20,
750,Diamond Princess,2/20/20,
751,District of Columbia,2/20/20,
752,Florida,2/20/20,
753,Georgia,2/20/20,
754,Grand Princess,2/20/20,
755,Hawaii,2/20/20,
756,Idaho,2/20/20,
757,Illinois,2/20/20,
758,Indiana,2/20/20,
759,Iowa,2/20/20,
760,Kansas,2/20/20,
761,Kentucky,2/20/20,
762,Louisiana,2/20/20,
763,Maine,2/20/20,
764,Maryland,2/20/20,
765,Massachusetts,2/20/20,
766,Michigan,2/20/20,
767,Minnesota,2/20/20,
768,Mississippi,2/20/20,
769,Missouri,2/20/20,
770,Montana,2/20/20,
771,Nebraska,2/20/20,
772,Nevada,2/20/20,
773,New Hampshire,2/20/20,
774,New Jersey,2/20/20,
775,New Mexico,2/20/20,
776,New York,2/20/20,
777,North Carolina,2/20/20,
778,North Dakota,2/20/20,
779,Ohio,2/20/20,
780,Oklahoma,2/20/20,
781,Oregon,2/20/20,
782,Pennsylvania,2/20/20,
783,Rhode Island,2/20/20,
784,South Carolina,2/20/20,
785,South Dakota,2/20/20,
786,Tennessee,2/20/20,
787,Texas,2/20/20,
788,Utah,2/20/20,
789,Vermont,2/20/20,
790,Virginia,2/20/20,
791,Washington,2/20/20,
792,West Virginia,2/20/20,
793,Wisconsin,2/20/20,
794,Wyoming,2/20/20,
795,Alabama,2/21/20,
796,Alaska,2/21/20,
797,Arizona,2/21/20,
798,Arkansas,2/21/20,
799,California,2/21/20,75.0
800,Colorado,2/21/20,
801,Connecticut,2/21/20,
802,Delaware,2/21/20,
803,Diamond Princess,2/21/20,
804,District of Columbia,2/21/20,
805,Florida,2/21/20,
806,Georgia,2/21/20,
807,Grand Princess,2/21/20,
808,Hawaii,2/21/20,
809,Idaho,2/21/20,
810,Illinois,2/21/20,
811,Indiana,2/21/20,
812,Iowa,2/21/20,
813,Kansas,2/21/20,
814,Kentucky,2/21/20,
815,Louisiana,2/21/20,
816,Maine,2/21/20,
817,Maryland,2/21/20,
818,Massachusetts,2/21/20,
819,Michigan,2/21/20,
820,Minnesota,2/21/20,
821,Mississippi,2/21/20,
822,Missouri,2/21/20,
823,Montana,2/21/20,
824,Nebraska,2/21/20,
825,Nevada,2/21/20,
826,New Hampshire,2/21/20,
827,New Jersey,2/21/20,
828,New Mexico,2/21/20,
829,New York,2/21/20,
830,North Carolina,2/21/20,
831,North Dakota,2/21/20,
832,Ohio,2/21/20,
833,Oklahoma,2/21/20,
834,Oregon,2/21/20,
835,Pennsylvania,2/21/20,
836,Rhode Island,2/21/20,
837,South Carolina,2/21/20,
838,South Dakota,2/21/20,
839,Tennessee,2/21/20,
840,Texas,2/21/20,
841,Utah,2/21/20,
842,Vermont,2/21/20,
843,Virginia,2/21/20,
844,Washington,2/21/20,
845,West Virginia,2/21/20,
846,Wisconsin,2/21/20,
847,Wyoming,2/21/20,
848,Alabama,2/22/20,
849,Alaska,2/22/20,
850,Arizona,2/22/20,
851,Arkansas,2/22/20,
852,California,2/22/20,50.0
853,Colorado,2/22/20,
854,Connecticut,2/22/20,
855,Delaware,2/22/20,
856,Diamond Princess,2/22/20,
857,District of Columbia,2/22/20,
858,Florida,2/22/20,
859,Georgia,2/22/20,
860,Grand Princess,2/22/20,
861,Hawaii,2/22/20,
862,Idaho,2/22/20,
863,Illinois,2/22/20,
864,Indiana,2/22/20,
865,Iowa,2/22/20,
866,Kansas,2/22/20,
867,Kentucky,2/22/20,
868,Louisiana,2/22/20,
869,Maine,2/22/20,
870,Maryland,2/22/20,
871,Massachusetts,2/22/20,
872,Michigan,2/22/20,
873,Minnesota,2/22/20,
874,Mississippi,2/22/20,
875,Missouri,2/22/20,
876,Montana,2/22/20,
877,Nebraska,2/22/20,
878,Nevada,2/22/20,
879,New Hampshire,2/22/20,
880,New Jersey,2/22/20,
881,New Mexico,2/22/20,
882,New York,2/22/20,
883,North Carolina,2/22/20,
884,North Dakota,2/22/20,
885,Ohio,2/22/20,
886,Oklahoma,2/22/20,
887,Oregon,2/22/20,
888,Pennsylvania,2/22/20,
889,Rhode Island,2/22/20,
890,South Carolina,2/22/20,
891,South Dakota,2/22/20,
892,Tennessee,2/22/20,
893,Texas,2/22/20,
894,Utah,2/22/20,
895,Vermont,2/22/20,
896,Virginia,2/22/20,
897,Washington,2/22/20,
898,West Virginia,2/22/20,
899,Wisconsin,2/22/20,
900,Wyoming,2/22/20,
901,Alabama,2/23/20,
902,Alaska,2/23/20,
903,Arizona,2/23/20,
904,Arkansas,2/23/20,
905,California,2/23/20,25.0
906,Colorado,2/23/20,
907,Connecticut,2/23/20,
908,Delaware,2/23/20,
909,Diamond Princess,2/23/20,
910,District of Columbia,2/23/20,
911,Florida,2/23/20,
912,Georgia,2/23/20,
913,Grand Princess,2/23/20,
914,Hawaii,2/23/20,
915,Idaho,2/23/20,
916,Illinois,2/23/20,
917,Indiana,2/23/20,
918,Iowa,2/23/20,
919,Kansas,2/23/20,
920,Kentucky,2/23/20,
921,Louisiana,2/23/20,
922,Maine,2/23/20,
923,Maryland,2/23/20,
924,Massachusetts,2/23/20,
925,Michigan,2/23/20,
926,Minnesota,2/23/20,
927,Mississippi,2/23/20,
928,Missouri,2/23/20,
929,Montana,2/23/20,
930,Nebraska,2/23/20,
931,Nevada,2/23/20,
932,New Hampshire,2/23/20,
933,New Jersey,2/23/20,
934,New Mexico,2/23/20,
935,New York,2/23/20,
936,North Carolina,2/23/20,
937,North Dakota,2/23/20,
938,Ohio,2/23/20,
939,Oklahoma,2/23/20,
940,Oregon,2/23/20,
941,Pennsylvania,2/23/20,
942,Rhode Island,2/23/20,
943,South Carolina,2/23/20,
944,South Dakota,2/23/20,
945,Tennessee,2/23/20,
946,Texas,2/23/20,
947,Utah,2/23/20,
948,Vermont,2/23/20,
949,Virginia,2/23/20,
950,Washington,2/23/20,
951,West Virginia,2/23/20,
952,Wisconsin,2/23/20,
953,Wyoming,2/23/20,
954,Alabama,2/24/20,
955,Alaska,2/24/20,
956,Arizona,2/24/20,
957,Arkansas,2/24/20,
