,Province_State,Date,value
5779,Mizoram,06/30/20,
5780,Nagaland,06/30/20,
5781,Odisha,06/30/20,22.0
5782,Puducherry,06/30/20,-25.0
5783,Punjab,06/30/20,-3.0
5784,Rajasthan,06/30/20,-3.0
5785,Sikkim,06/30/20,
5786,Tamil Nadu,06/30/20,10.0
5787,Telangana,06/30/20,6.0
5788,Telangana***,06/30/20,
5789,Telengana,06/30/20,
5790,Telengana***,06/30/20,
5791,Tripura,06/30/20,
5792,Unassigned,06/30/20,
5793,Uttar Pradesh,06/30/20,-3.0
5794,Uttarakhand,06/30/20,-27.0
5795,West Bengal,06/30/20,1.0
5796,Andaman and Nicobar Islands,07/01/20,
5797,Andhra Pradesh,07/01/20,1.0
5798,Arunachal Pradesh,07/01/20,-50.0
5799,Assam,07/01/20,50.0
5800,Bihar,07/01/20,36.0
5801,Cases being reassigned to states,07/01/20,
5802,Chandigarh,07/01/20,
5803,Chhattisgarh,07/01/20,-25.0
5804,Dadar Nagar Haveli,07/01/20,
5805,Dadra and Nagar Haveli and Daman and Diu,07/01/20,
5806,Daman & Diu,07/01/20,
5807,Delhi,07/01/20,-1.0
5808,Goa,07/01/20,-25.0
5809,Gujarat,07/01/20,-3.0
5810,Haryana,07/01/20,-12.0
5811,Himachal Pradesh,07/01/20,12.0
5812,Jammu and Kashmir,07/01/20,23.0
5813,Jharkhand,07/01/20,25.0
5814,Karnataka,07/01/20,13.0
5815,Kerala,07/01/20,75.0
5816,Ladakh,07/01/20,
5817,Madhya Pradesh,07/01/20,-1.0
5818,Maharashtra,07/01/20,1.0
5819,Manipur,07/01/20,
5820,Meghalaya,07/01/20,
5821,Mizoram,07/01/20,
5822,Nagaland,07/01/20,
5823,Odisha,07/01/20,41.0
5824,Puducherry,07/01/20,50.0
5825,Punjab,07/01/20,-4.0
5826,Rajasthan,07/01/20,3.0
5827,Sikkim,07/01/20,
5828,Tamil Nadu,07/01/20,8.0
5829,Telangana,07/01/20,3.0
5830,Telangana***,07/01/20,
5831,Telengana,07/01/20,
5832,Telengana***,07/01/20,
5833,Tripura,07/01/20,
5834,Unassigned,07/01/20,
5835,Uttar Pradesh,07/01/20,8.0
5836,Uttarakhand,07/01/20,-20.0
5837,West Bengal,07/01/20,3.0
5838,Andaman and Nicobar Islands,07/02/20,
5839,Andhra Pradesh,07/02/20,-9.0
5840,Arunachal Pradesh,07/02/20,-75.0
5841,Assam,07/02/20,25.0
5842,Bihar,07/02/20,35.0
5843,Cases being reassigned to states,07/02/20,
5844,Chandigarh,07/02/20,
5845,Chhattisgarh,07/02/20,12.0
5846,Dadar Nagar Haveli,07/02/20,
5847,Dadra and Nagar Haveli and Daman and Diu,07/02/20,
5848,Daman & Diu,07/02/20,
5849,Delhi,07/02/20,-1.0
5850,Goa,07/02/20,37.0
5851,Gujarat,07/02/20,2.0
5852,Haryana,07/02/20,-16.0
5853,Himachal Pradesh,07/02/20,-12.0
5854,Jammu and Kashmir,07/02/20,22.0
5855,Jharkhand,07/02/20,0.0
5856,Karnataka,07/02/20,9.0
5857,Kerala,07/02/20,50.0
5858,Ladakh,07/02/20,
5859,Madhya Pradesh,07/02/20,7.0
5860,Maharashtra,07/02/20,3.0
5861,Manipur,07/02/20,
5862,Meghalaya,07/02/20,
5863,Mizoram,07/02/20,
5864,Nagaland,07/02/20,
5865,Odisha,07/02/20,16.0
5866,Puducherry,07/02/20,25.0
5867,Punjab,07/02/20,1.0
5868,Rajasthan,07/02/20,11.0
5869,Sikkim,07/02/20,
5870,Tamil Nadu,07/02/20,5.0
5871,Telangana,07/02/20,4.0
5872,Telangana***,07/02/20,
5873,Telengana,07/02/20,
5874,Telengana***,07/02/20,
5875,Tripura,07/02/20,
5876,Unassigned,07/02/20,
5877,Uttar Pradesh,07/02/20,5.0
5878,Uttarakhand,07/02/20,0.0
5879,West Bengal,07/02/20,3.0
5880,Andaman and Nicobar Islands,07/03/20,
5881,Andhra Pradesh,07/03/20,-13.0
5882,Arunachal Pradesh,07/03/20,
5883,Assam,07/03/20,0.0
5884,Bihar,07/03/20,32.0
5885,Cases being reassigned to states,07/03/20,
5886,Chandigarh,07/03/20,
5887,Chhattisgarh,07/03/20,-12.0
5888,Dadar Nagar Haveli,07/03/20,
5889,Dadra and Nagar Haveli and Daman and Diu,07/03/20,
5890,Daman & Diu,07/03/20,
5891,Delhi,07/03/20,-1.0
5892,Goa,07/03/20,12.0
5893,Gujarat,07/03/20,2.0
5894,Haryana,07/03/20,-6.0
5895,Himachal Pradesh,07/03/20,25.0
5896,Jammu and Kashmir,07/03/20,36.0
5897,Jharkhand,07/03/20,0.0
5898,Karnataka,07/03/20,6.0
5899,Kerala,07/03/20,42.0
5900,Ladakh,07/03/20,
5901,Madhya Pradesh,07/03/20,12.0
5902,Maharashtra,07/03/20,0.0
5903,Manipur,07/03/20,
5904,Meghalaya,07/03/20,
5905,Mizoram,07/03/20,
5906,Nagaland,07/03/20,
5907,Odisha,07/03/20,7.0
5908,Puducherry,07/03/20,-0.0
5909,Punjab,07/03/20,2.0
5910,Rajasthan,07/03/20,9.0
5911,Sikkim,07/03/20,
5912,Tamil Nadu,07/03/20,2.0
5913,Telangana,07/03/20,4.0
5914,Telangana***,07/03/20,
5915,Telengana,07/03/20,
5916,Telengana***,07/03/20,
5917,Tripura,07/03/20,
5918,Unassigned,07/03/20,
5919,Uttar Pradesh,07/03/20,2.0
5920,Uttarakhand,07/03/20,4.0
5921,West Bengal,07/03/20,7.0
5922,Andaman and Nicobar Islands,07/04/20,
5923,Andhra Pradesh,07/04/20,-9.0
5924,Arunachal Pradesh,07/04/20,
5925,Assam,07/04/20,15.0
5926,Bihar,07/04/20,22.0
5927,Cases being reassigned to states,07/04/20,
5928,Chandigarh,07/04/20,
5929,Chhattisgarh,07/04/20,25.0
5930,Dadar Nagar Haveli,07/04/20,
5931,Dadra and Nagar Haveli and Daman and Diu,07/04/20,
5932,Daman & Diu,07/04/20,
5933,Delhi,07/04/20,-1.0
5934,Goa,07/04/20,-12.0
5935,Gujarat,07/04/20,0.0
5936,Haryana,07/04/20,-1.0
5937,Himachal Pradesh,07/04/20,-0.0
5938,Jammu and Kashmir,07/04/20,24.0
5939,Jharkhand,07/04/20,-25.0
5940,Karnataka,07/04/20,5.0
5941,Kerala,07/04/20,17.0
5942,Ladakh,07/04/20,
5943,Madhya Pradesh,07/04/20,2.0
5944,Maharashtra,07/04/20,1.0
5945,Manipur,07/04/20,
5946,Meghalaya,07/04/20,
5947,Mizoram,07/04/20,
5948,Nagaland,07/04/20,
5949,Odisha,07/04/20,-2.0
5950,Puducherry,07/04/20,-25.0
5951,Punjab,07/04/20,-5.0
5952,Rajasthan,07/04/20,0.0
5953,Sikkim,07/04/20,
5954,Tamil Nadu,07/04/20,-0.0
5955,Telangana,07/04/20,8.0
5956,Telangana***,07/04/20,
5957,Telengana,07/04/20,
5958,Telengana***,07/04/20,
5959,Tripura,07/04/20,
5960,Unassigned,07/04/20,
5961,Uttar Pradesh,07/04/20,1.0
5962,Uttarakhand,07/04/20,-5.0
5963,West Bengal,07/04/20,7.0
5964,Andaman and Nicobar Islands,07/05/20,
5965,Andhra Pradesh,07/05/20,-3.0
5966,Arunachal Pradesh,07/05/20,
5967,Assam,07/05/20,-10.0
5968,Bihar,07/05/20,23.0
5969,Cases being reassigned to states,07/05/20,
5970,Chandigarh,07/05/20,
5971,Chhattisgarh,07/05/20,-0.0
5972,Dadar Nagar Haveli,07/05/20,
5973,Dadra and Nagar Haveli and Daman and Diu,07/05/20,
5974,Daman & Diu,07/05/20,
5975,Delhi,07/05/20,3.0
5976,Goa,07/05/20,19.0
5977,Gujarat,07/05/20,1.0
5978,Haryana,07/05/20,-2.0
5979,Himachal Pradesh,07/05/20,25.0
5980,Jammu and Kashmir,07/05/20,23.0
5981,Jharkhand,07/05/20,-0.0
5982,Karnataka,07/05/20,14.0
5983,Kerala,07/05/20,-8.0
5984,Ladakh,07/05/20,
5985,Madhya Pradesh,07/05/20,-6.0
5986,Maharashtra,07/05/20,6.0
5987,Manipur,07/05/20,
5988,Meghalaya,07/05/20,
5989,Mizoram,07/05/20,
5990,Nagaland,07/05/20,
5991,Odisha,07/05/20,9.0
5992,Puducherry,07/05/20,-25.0
5993,Punjab,07/05/20,-2.0
5994,Rajasthan,07/05/20,3.0
5995,Sikkim,07/05/20,
5996,Tamil Nadu,07/05/20,2.0
5997,Telangana,07/05/20,4.0
5998,Telangana***,07/05/20,
5999,Telengana,07/05/20,
6000,Telengana***,07/05/20,
6001,Tripura,07/05/20,
6002,Unassigned,07/05/20,
6003,Uttar Pradesh,07/05/20,7.0
6004,Uttarakhand,07/05/20,-30.0
6005,West Bengal,07/05/20,8.0
6006,Andaman and Nicobar Islands,07/06/20,
6007,Andhra Pradesh,07/06/20,8.0
6008,Arunachal Pradesh,07/06/20,
6009,Assam,07/06/20,-19.0
6010,Bihar,07/06/20,14.0
6011,Cases being reassigned to states,07/06/20,
6012,Chandigarh,07/06/20,
6013,Chhattisgarh,07/06/20,-25.0
6014,Dadar Nagar Haveli,07/06/20,
6015,Dadra and Nagar Haveli and Daman and Diu,07/06/20,
6016,Daman & Diu,07/06/20,
6017,Delhi,07/06/20,3.0
6018,Goa,07/06/20,37.0
6019,Gujarat,07/06/20,-0.0
6020,Haryana,07/06/20,-6.0
6021,Himachal Pradesh,07/06/20,0.0
6022,Jammu and Kashmir,07/06/20,11.0
6023,Jharkhand,07/06/20,4.0
6024,Karnataka,07/06/20,17.0
6025,Kerala,07/06/20,-33.0
6026,Ladakh,07/06/20,
6027,Madhya Pradesh,07/06/20,-1.0
6028,Maharashtra,07/06/20,0.0
6029,Manipur,07/06/20,
6030,Meghalaya,07/06/20,
6031,Mizoram,07/06/20,
6032,Nagaland,07/06/20,
6033,Odisha,07/06/20,13.0
6034,Puducherry,07/06/20,-50.0
6035,Punjab,07/06/20,-9.0
6036,Rajasthan,07/06/20,4.0
6037,Sikkim,07/06/20,
6038,Tamil Nadu,07/06/20,0.0
6039,Telangana,07/06/20,0.0
6040,Telangana***,07/06/20,
6041,Telengana,07/06/20,
6042,Telengana***,07/06/20,
6043,Tripura,07/06/20,
6044,Unassigned,07/06/20,
6045,Uttar Pradesh,07/06/20,-2.0
6046,Uttarakhand,07/06/20,-44.0
6047,West Bengal,07/06/20,7.0
6048,Andaman and Nicobar Islands,07/07/20,
6049,Andhra Pradesh,07/07/20,10.0
6050,Arunachal Pradesh,07/07/20,75.0
6051,Assam,07/07/20,-25.0
6052,Bihar,07/07/20,-1.0
6053,Cases being reassigned to states,07/07/20,
6054,Chandigarh,07/07/20,
6055,Chhattisgarh,07/07/20,-50.0
6056,Dadar Nagar Haveli,07/07/20,
6057,Dadra and Nagar Haveli and Daman and Diu,07/07/20,
6058,Daman & Diu,07/07/20,
6059,Delhi,07/07/20,-1.0
6060,Goa,07/07/20,13.0
6061,Gujarat,07/07/20,-2.0
6062,Haryana,07/07/20,10.0
6063,Himachal Pradesh,07/07/20,-25.0
6064,Jammu and Kashmir,07/07/20,0.0
6065,Jharkhand,07/07/20,45.0
6066,Karnataka,07/07/20,16.0
6067,Kerala,07/07/20,-5.0
6068,Ladakh,07/07/20,
6069,Madhya Pradesh,07/07/20,1.0
6070,Maharashtra,07/07/20,-1.0
6071,Manipur,07/07/20,
6072,Meghalaya,07/07/20,
6073,Mizoram,07/07/20,
6074,Nagaland,07/07/20,
6075,Odisha,07/07/20,12.0
6076,Puducherry,07/07/20,-75.0
6077,Punjab,07/07/20,-6.0
6078,Rajasthan,07/07/20,-4.0
6079,Sikkim,07/07/20,
6080,Tamil Nadu,07/07/20,0.0
6081,Telangana,07/07/20,4.0
6082,Telangana***,07/07/20,
6083,Telengana,07/07/20,
6084,Telengana***,07/07/20,
6085,Tripura,07/07/20,
6086,Unassigned,07/07/20,
6087,Uttar Pradesh,07/07/20,-3.0
6088,Uttarakhand,07/07/20,-58.0
6089,West Bengal,07/07/20,7.0
6090,Andaman and Nicobar Islands,07/08/20,
6091,Andhra Pradesh,07/08/20,12.0
6092,Arunachal Pradesh,07/08/20,50.0
6093,Assam,07/08/20,-25.0
6094,Bihar,07/08/20,3.0
6095,Cases being reassigned to states,07/08/20,
6096,Chandigarh,07/08/20,75.0
6097,Chhattisgarh,07/08/20,-75.0
6098,Dadar Nagar Haveli,07/08/20,
6099,Dadra and Nagar Haveli and Daman and Diu,07/08/20,
6100,Daman & Diu,07/08/20,
6101,Delhi,07/08/20,-3.0
6102,Goa,07/08/20,5.0
6103,Gujarat,07/08/20,-3.0
6104,Haryana,07/08/20,-1.0
6105,Himachal Pradesh,07/08/20,-0.0
6106,Jammu and Kashmir,07/08/20,-2.0
6107,Jharkhand,07/08/20,36.0
6108,Karnataka,07/08/20,9.0
6109,Kerala,07/08/20,17.0
6110,Ladakh,07/08/20,
6111,Madhya Pradesh,07/08/20,-2.0
6112,Maharashtra,07/08/20,3.0
6113,Manipur,07/08/20,
6114,Meghalaya,07/08/20,
6115,Mizoram,07/08/20,
6116,Nagaland,07/08/20,
6117,Odisha,07/08/20,18.0
6118,Puducherry,07/08/20,75.0
6119,Punjab,07/08/20,3.0
6120,Rajasthan,07/08/20,-0.0
6121,Sikkim,07/08/20,
6122,Tamil Nadu,07/08/20,1.0
6123,Telangana,07/08/20,2.0
6124,Telangana***,07/08/20,
