,Province_State,Date,value
358,Pennsylvania,1/28/20,0
359,Rhode Island,1/28/20,0
360,South Carolina,1/28/20,0
361,South Dakota,1/28/20,0
362,Tennessee,1/28/20,0
363,Texas,1/28/20,0
364,Utah,1/28/20,0
365,Vermont,1/28/20,0
366,Virginia,1/28/20,0
367,Washington,1/28/20,0
368,West Virginia,1/28/20,0
369,Wisconsin,1/28/20,0
370,Wyoming,1/28/20,0
371,Alabama,1/29/20,0
372,Alaska,1/29/20,0
373,Arizona,1/29/20,0
374,Arkansas,1/29/20,0
375,California,1/29/20,0
376,Colorado,1/29/20,0
377,Connecticut,1/29/20,0
378,Delaware,1/29/20,0
379,Diamond Princess,1/29/20,0
380,District of Columbia,1/29/20,0
381,Florida,1/29/20,0
382,Georgia,1/29/20,0
383,Grand Princess,1/29/20,0
384,Hawaii,1/29/20,0
385,Idaho,1/29/20,0
386,Illinois,1/29/20,0
387,Indiana,1/29/20,0
388,Iowa,1/29/20,0
389,Kansas,1/29/20,0
390,Kentucky,1/29/20,0
391,Louisiana,1/29/20,0
392,Maine,1/29/20,0
393,Maryland,1/29/20,0
394,Massachusetts,1/29/20,0
395,Michigan,1/29/20,0
396,Minnesota,1/29/20,0
397,Mississippi,1/29/20,0
398,Missouri,1/29/20,0
399,Montana,1/29/20,0
400,Nebraska,1/29/20,0
401,Nevada,1/29/20,0
402,New Hampshire,1/29/20,0
403,New Jersey,1/29/20,0
404,New Mexico,1/29/20,0
405,New York,1/29/20,0
406,North Carolina,1/29/20,0
407,North Dakota,1/29/20,0
408,Ohio,1/29/20,0
409,Oklahoma,1/29/20,0
410,Oregon,1/29/20,0
411,Pennsylvania,1/29/20,0
412,Rhode Island,1/29/20,0
413,South Carolina,1/29/20,0
414,South Dakota,1/29/20,0
415,Tennessee,1/29/20,0
416,Texas,1/29/20,0
417,Utah,1/29/20,0
418,Vermont,1/29/20,0
419,Virginia,1/29/20,0
420,Washington,1/29/20,0
421,West Virginia,1/29/20,0
422,Wisconsin,1/29/20,0
423,Wyoming,1/29/20,0
424,Alabama,1/30/20,0
425,Alaska,1/30/20,0
426,Arizona,1/30/20,0
427,Arkansas,1/30/20,0
428,California,1/30/20,0
429,Colorado,1/30/20,0
430,Connecticut,1/30/20,0
431,Delaware,1/30/20,0
432,Diamond Princess,1/30/20,0
433,District of Columbia,1/30/20,0
434,Florida,1/30/20,0
435,Georgia,1/30/20,0
436,Grand Princess,1/30/20,0
437,Hawaii,1/30/20,0
438,Idaho,1/30/20,0
439,Illinois,1/30/20,0
440,Indiana,1/30/20,0
441,Iowa,1/30/20,0
442,Kansas,1/30/20,0
443,Kentucky,1/30/20,0
444,Louisiana,1/30/20,0
445,Maine,1/30/20,0
446,Maryland,1/30/20,0
447,Massachusetts,1/30/20,0
448,Michigan,1/30/20,0
449,Minnesota,1/30/20,0
450,Mississippi,1/30/20,0
451,Missouri,1/30/20,0
452,Montana,1/30/20,0
453,Nebraska,1/30/20,0
454,Nevada,1/30/20,0
455,New Hampshire,1/30/20,0
456,New Jersey,1/30/20,0
457,New Mexico,1/30/20,0
458,New York,1/30/20,0
459,North Carolina,1/30/20,0
460,North Dakota,1/30/20,0
461,Ohio,1/30/20,0
462,Oklahoma,1/30/20,0
463,Oregon,1/30/20,0
464,Pennsylvania,1/30/20,0
465,Rhode Island,1/30/20,0
466,South Carolina,1/30/20,0
467,South Dakota,1/30/20,0
468,Tennessee,1/30/20,0
469,Texas,1/30/20,0
470,Utah,1/30/20,0
471,Vermont,1/30/20,0
472,Virginia,1/30/20,0
473,Washington,1/30/20,0
474,West Virginia,1/30/20,0
475,Wisconsin,1/30/20,0
476,Wyoming,1/30/20,0
477,Alabama,1/31/20,0
478,Alaska,1/31/20,0
479,Arizona,1/31/20,0
480,Arkansas,1/31/20,0
481,California,1/31/20,0
482,Colorado,1/31/20,0
483,Connecticut,1/31/20,0
484,Delaware,1/31/20,0
485,Diamond Princess,1/31/20,0
486,District of Columbia,1/31/20,0
487,Florida,1/31/20,0
488,Georgia,1/31/20,0
489,Grand Princess,1/31/20,0
490,Hawaii,1/31/20,0
491,Idaho,1/31/20,0
492,Illinois,1/31/20,0
493,Indiana,1/31/20,0
494,Iowa,1/31/20,0
495,Kansas,1/31/20,0
496,Kentucky,1/31/20,0
497,Louisiana,1/31/20,0
498,Maine,1/31/20,0
499,Maryland,1/31/20,0
500,Massachusetts,1/31/20,0
501,Michigan,1/31/20,0
502,Minnesota,1/31/20,0
503,Mississippi,1/31/20,0
504,Missouri,1/31/20,0
505,Montana,1/31/20,0
506,Nebraska,1/31/20,0
507,Nevada,1/31/20,0
508,New Hampshire,1/31/20,0
509,New Jersey,1/31/20,0
510,New Mexico,1/31/20,0
511,New York,1/31/20,0
512,North Carolina,1/31/20,0
513,North Dakota,1/31/20,0
514,Ohio,1/31/20,0
515,Oklahoma,1/31/20,0
516,Oregon,1/31/20,0
