,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
41,Costa Rica,7/25/20,931,3/11/20,562.0,60.0,136,2020-08-02,9,4.0,1
42,Cote d'Ivoire,6/19/20,430,3/21/20,151.0,35.0,90,2020-08-02,45,1.0,2
43,Croatia,7/11/20,140,3/6/20,67.0,48.0,127,2020-08-02,23,2.0,3
44,Cuba,5/2/20,74,3/19/20,13.0,18.0,44,2020-08-02,93,1.0,2
45,Cyprus,4/1/20,58,3/13/20,8.0,13.0,19,2020-08-02,124,1.0,2
46,Czechia,4/4/20,381,3/5/20,196.0,52.0,30,2020-08-02,121,0.0,2
47,Denmark,4/7/20,391,3/4/20,44.0,11.0,34,2020-08-02,118,1.0,2
48,Diamond Princess,2/17/20,99,2/7/20,1.0,1.0,10,2020-08-02,168,1.0,4
49,Djibouti,5/30/20,280,3/25/20,11.0,4.0,66,2020-08-02,65,1.0,4
50,Dominica,3/25/20,5,3/26/20,1.0,20.0,-1,2020-08-02,131,1.0,2
51,Dominican Republic,7/26/20,2012,3/14/20,1382.0,69.0,134,2020-08-02,8,4.0,1
52,Ecuador,4/24/20,11536,3/5/20,857.0,7.0,50,2020-08-02,101,1.0,4
53,Egypt,6/19/20,1774,3/6/20,487.0,27.0,105,2020-08-02,45,2.0,2
54,El Salvador,7/25/20,429,3/26/20,396.0,92.0,121,2020-08-02,9,1.0,1
55,Equatorial Guinea,7/31/20,1750,3/26/20,117.0,7.0,127,2020-08-02,3,31.0,4
56,Eritrea,6/14/20,31,3/29/20,2.0,6.0,77,2020-08-02,50,2.0,4
57,Estonia,3/26/20,134,3/10/20,4.0,3.0,16,2020-08-02,130,1.0,4
58,Eswatini,7/29/20,147,4/8/20,70.0,47.0,112,2020-08-02,5,11.0,1
59,Ethiopia,7/8/20,928,3/22/20,637.0,69.0,108,2020-08-02,26,1.0,2
60,Fiji,4/4/20,5,4/4/20,0.0,1.0,0,2020-08-02,121,1.0,4
61,Finland,4/4/20,267,3/5/20,9.0,3.0,30,2020-08-02,121,1.0,4
62,France,4/12/20,26849,2/8/20,884.0,3.0,64,2020-08-02,113,1.0,4
63,Gabon,6/15/20,570,3/31/20,81.0,14.0,76,2020-08-02,49,2.0,2
64,Gambia,7/31/20,95,4/30/20,27.0,28.0,92,2020-08-02,3,24.0,1
65,Georgia,4/16/20,42,3/8/20,11.0,25.0,39,2020-08-02,109,1.0,2
66,Germany,3/27/20,6933,2/3/20,586.0,8.0,53,2020-08-02,129,1.0,4
67,Ghana,8/1/20,1513,3/19/20,664.0,44.0,135,2020-08-02,2,28.0,1
68,Greece,4/21/20,156,3/5/20,45.0,29.0,47,2020-08-02,104,1.0,2
69,Grenada,3/26/20,6,4/3/20,0.0,1.0,-8,2020-08-02,130,1.0,4
70,Guatemala,7/18/20,4233,3/20/20,884.0,21.0,120,2020-08-02,16,5.0,3
71,Guinea,5/28/20,278,3/29/20,55.0,20.0,60,2020-08-02,67,1.0,2
72,Guinea-Bissau,5/4/20,156,4/3/20,2.0,1.0,31,2020-08-02,91,1.0,4
73,Guyana,8/2/20,44,3/22/20,10.0,22.0,133,2020-08-02,1,78.0,1
74,Haiti,6/6/20,332,3/29/20,28.0,8.0,69,2020-08-02,58,2.0,4
75,Holy See,3/24/20,3,4/30/20,1.0,33.0,-37,2020-08-02,132,1.0,2
76,Honduras,6/28/20,1075,3/19/20,694.0,65.0,101,2020-08-02,36,1.0,2
77,Hungary,4/10/20,210,3/11/20,15.0,7.0,30,2020-08-02,115,1.0,4
78,Iceland,4/2/20,99,3/3/20,5.0,5.0,30,2020-08-02,123,1.0,4
